SquareFeet,Price
2545.4,381388.78
4130.3,626135.85
3107.8,466963.79
1767.7,253306.41
1717.0,269205.79
2255.9,354741.48
3353.0,516843.42
4048.9,643839.36
4050.8,618058.86
4349.8,629473.03
1856.1,295798.57
1757.4,305467.29
2780.2,422052.84
3080.7,476158.24
3210.3,481341.19
2212.7,339640.87
3546.5,565827.05
3589.0,544242.36
1850.5,302393.15
4060.0,611293.57
4397.6,678115.77
572.9,103114.37
874.7,112438.5
1192.8,181819.83
2512.5,391465.2
3134.8,508925.17
1609.5,252914.05
2807.6,439185.27
2227.8,336610.27
2046.9,312078.9
1628.1,267347.81
2947.4,431999.75
4187.5,634161.04
2813.1,453771.38
2477.7,365593.89
2052.7,322158.4
4362.5,697747.63
953.9,138030.77
1531.8,242032.97
4133.1,611205.96
3154.0,487798.97
1208.4,184647.64
3790.4,592821.74
777.4,177444.77
2589.0,377845.08
2210.2,345766.63
3389.8,525178.08
3933.7,604023.91
2196.9,357857.23
4442.6,687547.53
1772.0,278131.45
3732.5,542516.87
4446.6,663679.15
2393.9,375551.76
566.4,
1415.2,251864.75
1933.9,299189.81
3583.9,543110.05
1585.4,232720.79
3921.8,571165.33
1999.5,300924.79
2208.4,340943.52
4377.2,651796.9
1863.2,293954.31
4104.6,608116.19
3658.5,547836.47
4153.0,627039.92
865.1,
2324.3,371802.5
3358.4,543627.08
1072.0,178457.98
3404.4,512348.68
3772.1,568963.68
4444.8,706077.49
2980.5,460146.68
4246.9,665166.0
836.4,129480.04
593.1,101047.91
1970.9,333616.55
3926.0,613730.42
2745.1,441428.45
4447.5,658965.36
1718.5,264850.0
1971.1,317114.91
4379.6,687556.34
1639.4,269120.24
1151.7,203715.84
3942.9,582216.36
3286.9,533342.81
3332.3,499733.8
2833.5,424796.36
3263.8,513715.39
2510.5,399624.96
2694.9,408992.65
527.8,82733.78
1703.5,250842.26
4315.7,651461.55
3964.7,634742.54
1178.0,
903.1,157540.3
684.0,121774.0
2904.5,466090.01
3188.5,496440.72
2556.9,416424.97
3288.1,496793.32
1623.7,254185.01
2727.2,448668.73
3974.4,624612.98
2457.8,368371.98
2686.8,439694.91
520.2,110672.18
2670.6,403559.69
4302.9,685593.94
1674.4,263872.3
3463.1,547813.19
2717.4,407369.06
964.3,156689.98
2475.2,364127.27
3484.2,519179.25
2322.6,349431.79
2135.8,318421.96
3714.7,539599.65
3150.1,444507.01
3029.2,459670.23
3713.9,554536.31
1246.3,209582.92
1646.2,233297.21
796.2,136686.07
4301.6,651047.31
1927.0,281132.13
4110.2,631576.56
3727.3,538382.12
3679.2,561497.4
1363.3,225574.79
3768.9,578680.24
2396.7,372786.48
3619.5,555154.29
545.4,75512.36
4084.4,603934.22
1394.4,246937.81
904.5,168043.27
1791.8,291277.07
3096.8,517527.9
1450.6,185191.83
1800.7,240073.95
1476.0,232441.34
1060.3,167772.92
3531.4,540350.33
4302.4,652269.16
3585.1,532996.99
4462.0,662290.57
1775.9,280029.75
3050.2,491037.76
2592.4,391695.3
4198.8,602744.37
1497.2,263219.99
834.0,142648.29
1239.4,199767.54
3015.8,450048.76
1124.0,190203.3
2599.0,400501.46
1281.0,190355.31
1780.2,286202.49
1913.4,288628.88
2141.5,333339.32
4271.6,617153.25
4082.1,622888.13
4392.0,670061.68
3348.7,524235.89
872.4,148357.9
1982.6,303348.03
2696.9,391094.46
2002.3,263627.65
685.8,103025.89
2863.6,431394.84
1864.3,254225.04
625.7,95967.77
4088.4,660961.75
1143.2,175018.07
1792.8,290116.62
4064.6,627949.5
3546.0,555827.65
4048.3,617428.76
3232.0,505945.59
1783.1,299921.88
1209.8,211550.19
2575.2,384196.82
643.8,72956.8
662.9,82328.42
1388.4,202891.83
2260.6,374205.64
1449.0,212852.48
4137.3,595660.37
2891.6,449869.97
2715.4,449207.53
841.4,152359.67
725.2,125327.68
3404.4,512348.68
3733.6,
3283.9,519898.9
1583.3,243760.86
3693.2,561001.19
1411.7,228805.84
2489.0,388046.12
1659.0,241862.43
1619.7,285257.08
557.6,90975.93
3605.7,559808.57
825.4,163319.4
3522.2,520783.16
4444.0,654638.1
3829.8,579744.33
3968.3,605872.34
2580.3,409796.03
4094.2,605534.57
4289.0,633235.42
2657.4,399522.35
1058.0,169017.53
2521.0,386846.42
754.2,116261.82
2169.6,345123.82
3010.2,496698.07
1490.9,
3024.6,464960.05
2834.6,425714.51
2362.4,358465.65
940.2,139193.64
4295.5,651955.57
4471.9,649551.77
1124.1,165191.57
4300.2,663703.7
1664.9,272618.95
3896.9,625522.58
1627.4,243200.85
2466.5,380368.41
3509.5,528840.62
606.0,93447.96
1614.6,254811.88
1560.8,257778.38
4366.6,653575.79
2610.8,405051.67
1458.2,223898.64
2318.2,369942.11
1193.2,166237.93
649.4,142651.0
2470.1,384600.39
582.3,70349.6
3683.2,562025.0
1294.9,188005.32
3904.5,569653.61
3543.1,594804.6
3283.0,506903.45
3003.4,468015.82
2293.8,345190.94
784.8,120782.2
912.5,165059.93
4101.7,595432.94
3284.1,473993.07
2837.3,431729.02
891.3,143606.12
1252.5,221758.81
1896.8,288256.89
2235.4,331830.69
3312.1,515458.0
2960.0,404540.32
3236.9,505682.72
836.6,123513.66
548.6,81213.05
622.0,
2005.0,311121.35
1467.4,192376.12
2040.4,318297.58
4218.8,623619.88
3787.4,569010.06
4009.4,602057.65
1079.6,192891.03
601.4,120640.13
3451.6,524094.14
4088.9,634027.3
1535.1,220899.1
3751.2,545977.23
2506.1,
732.3,99621.3
1677.8,278130.81
813.8,112926.13
3416.0,521206.99
1998.2,316879.36
1903.7,315314.89
2150.5,328814.33
4009.9,641087.51
2972.9,456466.21
798.2,123589.34
681.8,91076.51
1246.1,203998.53
1988.1,307894.91
3098.5,481024.5
637.6,128409.65
4344.8,640459.1
2963.4,435972.55
522.1,82303.41
1965.4,315146.11
3503.5,543591.9
3139.9,509886.43
1998.5,329295.47
2534.3,405943.36
543.4,72434.42
3267.6,480984.21
3708.8,572973.45
3640.7,533580.61
3403.8,530155.84
1197.5,229582.14
